County,Rural or Urban,County Size (Bucket),Fiscal Year Ending, Population (July 1) ,Estimated General Fund Expenditures,Estimated Total Fund Expenditures,County Jail District Revenue
Yavapai,Rural,Medium,2020," 237,073 "," 111,886,536 "," 223,662,329 "," 10,207,534 "
Yuma,Rural,Medium,2020," 204,722 "," 76,145,391 "," 202,140,613 "," 15,283,393 "
Apache,Rural,Small,2021," 66,411 "," 16,751,396 "," 51,402,465 "," 937,108 "
Cochise,Rural,Medium,2021," 126,463 "," 65,687,867 "," 124,901,242 ",
Coconino,Rural,Medium,2021," 147,434 "," 63,675,502 "," 177,799,201 "," 18,527,203 "
Gila,Rural,Small,2021," 53,525 "," 39,079,515 "," 86,670,545 ",
Graham,Rural,Small,2021," 39,025 "," 17,843,104 "," 34,643,050 "," 2,618,861 "
Greenlee,Rural,Small,2021," 9,593 "," 13,518,909 "," 20,669,573 ",
La Paz,Rural,Small,2021," 16,820 "," 15,585,595 "," 31,929,295 "," 1,628,865 "
Maricopa,Urban,Large,2021," 4,507,419 "," 1,181,588,938 "," 2,658,054,407 "," 206,875,287 "
Navajo,Rural,Small,2021," 107,748 "," 33,319,960 "," 73,109,581 "," 5,328,875 "
Mohave,Rural,Medium,2021," 216,527 "," 89,981,073 "," 205,564,533 ",
Santa Cruz,Rural,Small,2021," 48,468 "," 20,867,591 "," 51,279,389 "," 4,806,586 "
Yavapai,Rural,Medium,2021," 241,173 "," 113,223,237 "," 251,272,925 "," 12,438,427 "
Yuma,Rural,Medium,2021," 207,318 "," 79,355,150 "," 203,514,708 "," 18,007,935 "
Pima,Urban,Large,2021," 1,058,318 "," 556,938,840 "," 1,348,032,002 ",
Pinal,Rural,Large,2021," 439,128 "," 176,974,376 "," 347,034,329 ",
Apache,Rural,Small,2022," 66,848 "," 16,910,866 "," 50,896,331 "," 953,227 "
Cochise,Rural,Medium,2022," 126,648 "," 69,111,255 "," 140,564,131 ",
Coconino,Rural,Medium,2022," 149,647 "," 63,193,159 "," 163,277,264 "," 21,876,559 "
Gila,Rural,Small,2022," 53,838 "," 45,871,134 "," 90,366,861 ",
Graham,Rural,Small,2022," 39,010 "," 16,747,126 "," 33,790,947 "," 2,773,363 "
Greenlee,Rural,Small,2022," 9,652 "," 13,338,988 "," 21,039,156 ",
La Paz,Rural,Small,2022," 16,860 "," 15,787,431 "," 29,996,318 "," 1,790,856 "
Maricopa,Urban,Large,2022," 4,586,431 "," 1,200,993,640 "," 2,845,186,048 "," 246,834,965 "
Mohave,Rural,Medium,2022," 221,105 "," 92,619,983 "," 205,389,696 ",
Navajo,Rural,Small,2022," 108,580 "," 35,300,084 "," 77,952,336 "," 5,924,051 "
Pima,Urban,Large,2022," 1,072,298 "," 876,145,427 "," 2,110,299,613 ",
Pinal,Rural,Large,2022," 453,924 "," 156,484,554 "," 367,588,916 ",
Santa Cruz,Rural,Small,2022," 49,039 "," 25,616,606 "," 59,375,457 "," 3,835,768 "
Yavapai,Rural,Medium,2022," 245,389 "," 117,929,736 "," 281,603,957 "," 14,140,320 "
Yuma,Rural,Medium,2022," 209,920 "," 83,775,642 "," 230,541,513 "," 18,786,425 "
Apache,Rural,Small,2023," 66,922 "," 18,554,618 "," 43,408,934 ","$1,451,074 "
Cochise,Rural,Medium,2023," 127,305 "," 94,616,148 "," 221,511,870 ",
Coconino,Rural,Medium,2023," 150,722 "," 70,242,553 "," 236,206,806 ","$22,810,542 "
Gila,Rural,Small,2023," 53,800 "," 45,609,189 "," 91,390,404 ",
Graham,Rural,Small,2023," 39,656 "," 11,995,145 "," 38,523,582 ","$3,364,027 "
Greenlee,Rural,Small,2023," 9,671 "," 14,379,717 "," 22,371,496 ",
La Paz,Rural,Small,2023," 16,890 "," 15,428,633 "," 35,998,005 ","$2,191,893 "
Maricopa,Urban,Large,2023," 4,665,020 "," 1,366,038,092 "," 3,581,407,771 ","$269,788,176 "
Mohave,Rural,Medium,2023," 224,366 "," 105,566,358 "," 235,898,310 ",
Navajo,Rural,Small,2023," 109,835 "," 38,593,803 "," 98,046,573 ","$6,280,832 "
Pima,Urban,Large,2023," 1,080,300 "," 612,395,891 "," 1,858,845,895 ",
Pinal,Rural,Large,2023," 467,459 "," 318,187,800 "," 554,821,242 ",
Santa Cruz,Rural,Small,2023," 50,004 "," 28,462,783 "," 63,922,505 ","$4,430,486 "
Yavapai,Rural,Medium,2023," 248,899 "," 131,946,284 "," 304,032,204 ","$15,036,868 "
Yuma,Rural,Medium,2023," 214,264 "," 88,899,082 "," 243,386,416 ","$20,108,605 "
Apache,Rural,Small,2024," 66,557 ",,,
Cochise,Rural,Medium,2024," 128,253 ",,,
Coconino,Rural,Medium,2024," 149,875 ",,,
Gila,Rural,Small,2024," 54,006 ",,,
Graham,Rural,Small,2024," 40,107 ",,,
Greenlee,Rural,Small,2024," 9,673 ",,,
La Paz,Rural,Small,2024," 17,128 ",,,
Maricopa,Urban,Large,2024," 4,726,247 ",,,
Mohave,Rural,Medium,2024," 228,107 ",,,
Navajo,Rural,Small,2024," 110,846 ",,,
Pima,Urban,Large,2024," 1,086,634 ",,,
Pinal,Rural,Large,2024," 483,944 ",,,
Santa Cruz,Rural,Small,2024," 50,580 ",,,
Yavapai,Rural,Medium,2024," 251,768 ",,,
Yuma,Rural,Medium,2024," 217,978 ",,,
